"title","score","release_date","platform"
"#KILLALLZOMBIES",63,"2014-10-28","ps4"
".hack//G.U. Last Recode",76,"2017-11-03","ps4"
"10 Second Ninja X",76,"2016-07-19","ps4"
"1000 Top Rated",NA,"2017-06-27","ps4"
"1001 Spikes",78,"2014-06-03","ps4"
"100ft Robot Golf",56,"2017-09-27","ps4"
"101 Ways to Die",60,"2016-03-22","ps4"
"140",72,"2016-09-06","ps4"
"2064: Read Only Memories",76,"2017-01-17","ps4"
"2Dark",54,"2017-03-10","ps4"
"2MD VR Football",NA,"2018-05-08","ps4"
"36 Fragments of Midnight",NA,"2017-12-19","ps4"
"3D Billiards",NA,"2017-12-19","ps4"
"3D Billiards: Billards & Snooker",NA,"2017-12-19","ps4"
"3D Mini Golf",NA,"2018-03-08","ps4"
"3D MiniGolf",NA,"2017-08-15","ps4"
"3on3 Freestyle",NA,"2016-12-06","ps4"
"428: Shibuya Scramble",NA,"2018-08-28","ps4"
"5 Star Wrestling: ReGenesis",NA,"2016-01-19","ps4"
"7 Days to Die",45,"2016-06-28","ps4"
"8-Bit Adventure Anthology: Volume One",71,"2017-10-31","ps4"
"8-Bit Armies",NA,"2018-09-21","ps4"
"88 Heroes",72,"2017-03-24","ps4"
"88 Heroes: H8 Mode Activate!",NA,"2017-10-20","ps4"
"88 Heroes: RSG Champions",NA,"2017-08-08","ps4"
"8DAYS",61,"2017-02-07","ps4"
"911 Operator",NA,"2017-11-28","ps4"
"99Vidas",61,"2017-07-18","ps4"
"A Bastard's Tale",48,"2016-10-04","ps4"
"A Boy and His Blob",66,"2016-01-19","ps4"
"A Hat in Time",79,"2017-12-05","ps4"
"A Healer Only Lives Twice",NA,"2017-07-25","ps4"
"A Hole New World",NA,"2017-09-05","ps4"
"A King's Tale: Final Fantasy XV",65,"2016-11-29","ps4"
"A Pixel Story",67,"2017-02-24","ps4"
"A Way Out",78,"2018-03-23","ps4"
"Aaero",77,"2017-04-11","ps4"
"Aaru's Awakening",59,"2015-04-07","ps4"
"Abo Khashem",NA,"2018-02-23","ps4"
"Absolute Drift: Zen Edition",78,"2016-08-23","ps4"
"Absolver",69,"2017-08-29","ps4"
"Abyss Odyssey: Extended Dream Edition",65,"2015-07-28","ps4"
"Abyss: The Wraiths of Eden",NA,"2017-10-20","ps4"
"ABZU",78,"2016-08-02","ps4"
